budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
250,69,250,0.9451,0.00869,nsga2,250,288,0.44,0.0426,S2,16,38,control
250,137,250,0.7939,0.10685,random,250,381,0.0,0.0035,S2,17,131,control
250,58,250,0.9162,0.03476,nsga2,250,287,0.2,0.0358,S2,17,37,control
250,127,250,0.73,0.09365,random,250,359,0.04,0.0035,S2,18,109,control
250,94,250,0.8119,0.09552,nsga2,250,288,0.08,0.0392,S2,18,38,control
250,131,250,0.6551,0.12329,random,250,377,0.0,0.0035,S2,19,127,control
250,49,250,0.8562,0.03478,nsga2,250,284,0.4,0.0368,S2,19,34,control
500,266,500,0.9101,0.06605,random,500,713,0.08,0.0079,S2,0,213,control
500,121,500,0.9939,0.00378,nsga2,500,580,0.88,0.0894,S2,0,80,control
500,265,500,0.8782,0.04808,random,500,784,0.16,0.008,S2,1,284,control
500,134,500,0.9873,0.01027,nsga2,500,570,0.56,0.0923,S2,1,70,control
500,270,500,0.9059,0.05756,random,500,780,0.16,0.007,S2,2,280,control
500,133,500,0.9823,0.00916,nsga2,500,548,0.8,0.0803,S2,2,48,control
500,276,500,0.8866,0.04635,random,500,754,0.2,0.0071,S2,3,254,control
500,110,500,0.9701,0.01077,nsga2,500,580,0.6,0.0871,S2,3,80,control
500,278,500,0.8207,0.05745,random,500,730,0.08,0.0071,S2,4,230,control
500,106,500,0.9837,0.0044,nsga2,500,540,0.8,0.0898,S2,4,40,control
500,266,500,0.918,0.03591,random,500,751,0.12,0.0072,S2,5,251,control
500,153,500,0.9998,0.0006,nsga2,500,587,0.84,0.0907,S2,5,87,control
500,290,500,0.936,0.04388,random,500,735,0.08,0.007,S2,6,235,control
500,132,500,0.986,0.00584,nsga2,500,572,0.76,0.0909,S2,6,72,control
500,281,500,0.9614,0.01854,random,500,736,0.32,0.0075,S2,7,236,control
500,116,500,0.9986,0.00311,nsga2,500,528,0.72,0.1012,S2,7,28,control
500,268,500,0.8533,0.05619,random,500,743,0.16,0.0079,S2,8,243,control
500,117,500,0.9943,0.00176,nsga2,500,544,0.8,0.0899,S2,8,44,control
500,273,500,0.7806,0.09153,random,500,748,0.12,0.0077,S2,9,248,control
500,142,500,0.9702,0.00725,nsga2,500,558,0.8,0.0828,S2,9,58,control
500,280,500,0.8318,0.07571,random,500,758,0.04,0.0073,S2,10,258,control
500,141,500,0.999,0.00063,nsga2,500,536,0.88,0.0908,S2,10,36,control
500,280,500,0.8245,0.08618,random,500,763,0.04,0.0077,S2,11,263,control
500,166,500,0.9597,0.00499,nsga2,500,624,0.6,0.0982,S2,11,124,control
500,250,500,0.9186,0.049,random,500,772,0.04,0.0083,S2,12,272,control
500,132,500,0.9986,0.00304,nsga2,500,579,0.8,0.092,S2,12,79,control
500,280,500,0.8798,0.05613,random,500,778,0.0,0.0074,S2,13,278,control
500,84,500,0.8071,0.36677,nsga2,500,606,0.12,0.2063,S2,13,106,control
500,277,500,0.9038,0.05696,random,500,759,0.08,0.009,S2,14,259,control
500,135,500,0.9056,0.05099,nsga2,500,525,0.32,0.0968,S2,14,25,control
500,260,500,0.8676,0.05132,random,500,763,0.16,0.0079,S2,15,263,control
500,132,500,0.9987,0.00225,nsga2,500,567,0.8,0.0943,S2,15,67,control
500,281,500,0.8539,0.06426,random,500,758,0.04,0.0072,S2,16,258,control
500,140,500,0.9989,0.00102,nsga2,500,547,0.88,0.0902,S2,16,47,control
500,275,500,0.8395,0.08897,random,500,743,0.0,0.0079,S2,17,243,control
500,120,500,0.9995,0.00063,nsga2,500,559,0.88,0.0885,S2,17,59,control
500,269,500,0.9114,0.04427,random,500,743,0.12,0.0074,S2,18,243,control
500,161,500,0.9129,0.04692,nsga2,500,555,0.24,0.0891,S2,18,55,control
500,276,500,0.799,0.07498,random,500,760,0.0,0.0074,S2,19,260,control
500,97,500,0.9992,0.00318,nsga2,500,544,0.8,0.0942,S2,19,44,control
1000,550,1000,0.9352,0.04344,random,1000,1454,0.2,0.0178,S2,0,454,control
1000,252,1000,1.0,0.0,nsga2,1000,1109,1.0,0.1812,S2,0,109,control
1000,546,1000,0.8941,0.03431,random,1000,1546,0.24,0.0169,S2,1,546,control
1000,289,1000,0.9956,0.00051,nsga2,1000,1150,0.76,0.2285,S2,1,150,control
1000,532,1000,0.9287,0.03159,random,1000,1510,0.28,0.0169,S2,2,510,control
