budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
3888,0,3888,1.0,0.0,exhaustive,3888,3888,1.0,0.0433,S2,,0,sensing
26,0,26,1.0,0.0,HCA-DSE,26,26,1.0,0.0174,S2,,0,sensing
100,76,100,0.0471,0.48611,random,100,141,0.0625,0.0013,S2,0,41,sensing
100,53,100,0.8854,0.16147,nsga2,100,138,0.0,0.023,S2,0,38,sensing
100,74,100,0.6787,0.24142,random,100,160,0.0,0.0014,S2,1,60,sensing
100,58,100,0.7203,0.19608,nsga2,100,132,0.0,0.0151,S2,1,32,sensing
100,72,100,0.7121,0.19429,random,100,156,0.125,0.0013,S2,2,56,sensing
100,56,100,0.6506,0.18569,nsga2,100,135,0.125,0.026,S2,2,35,sensing
100,77,100,0.175,0.23856,random,100,155,0.0625,0.0015,S2,3,55,sensing
100,66,100,0.0686,0.37045,nsga2,100,150,0.125,0.0317,S2,3,50,sensing
100,79,100,0.0926,0.40584,random,100,138,0.0,0.0012,S2,4,38,sensing
100,46,100,0.073,0.46354,nsga2,100,128,0.125,0.018,S2,4,28,sensing
100,85,100,0.7386,0.1169,random,100,145,0.0625,0.0012,S2,5,45,sensing
100,56,100,0.1054,0.38892,nsga2,100,145,0.0,0.0204,S2,5,45,sensing
100,76,100,0.7163,0.23089,random,100,151,0.0,0.0013,S2,6,51,sensing
100,70,100,0.0445,0.44977,nsga2,100,143,0.0,0.0181,S2,6,43,sensing
100,77,100,0.2796,0.3826,random,100,147,0.0,0.0013,S2,7,47,sensing
100,61,100,0.8206,0.09649,nsga2,100,142,0.125,0.0208,S2,7,42,sensing
100,75,100,0.6746,0.13313,random,100,139,0.0625,0.0012,S2,8,39,sensing
100,60,100,0.5578,0.17282,nsga2,100,132,0.0,0.0178,S2,8,32,sensing
100,77,100,0.2268,0.30549,random,100,145,0.0625,0.0012,S2,9,45,sensing
