budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
250,81,250,0.9648,0.00658,nsga2,250,311,0.4815,0.0473,S3,16,61,control
250,209,250,0.3971,0.2471,random,250,365,0.0,0.0027,S3,17,115,control
250,67,250,0.7223,0.08641,nsga2,250,298,0.0741,0.044,S3,17,48,control
250,195,250,0.2653,0.34058,random,250,358,0.0,0.0034,S3,18,108,control
250,152,250,0.764,0.23005,nsga2,250,290,0.037,0.0352,S3,18,40,control
250,206,250,0.3291,0.4033,random,250,365,0.0,0.0027,S3,19,115,control
250,95,250,0.4489,0.22635,nsga2,250,278,0.0,0.0321,S3,19,28,control
500,395,500,0.6847,0.17545,random,500,723,0.0,0.0058,S3,0,223,control
500,159,500,0.9336,0.03802,nsga2,500,558,0.2593,0.0775,S3,0,58,control
500,405,500,0.5678,0.16423,random,500,754,0.0,0.0053,S3,1,254,control
500,142,500,0.7737,0.07641,nsga2,500,552,0.037,0.0852,S3,1,52,control
500,398,500,0.6325,0.29176,random,500,774,0.0,0.0057,S3,2,274,control
500,132,500,0.9892,0.0055,nsga2,500,581,0.6296,0.0892,S3,2,81,control
500,400,500,0.5286,0.1738,random,500,764,0.0,0.0057,S3,3,264,control
500,161,500,0.9946,0.00722,nsga2,500,577,0.7037,0.103,S3,3,77,control
500,401,500,0.5877,0.1441,random,500,732,0.0,0.0054,S3,4,232,control
500,149,500,0.9727,0.03151,nsga2,500,562,0.3704,0.0921,S3,4,62,control
500,405,500,0.329,0.25704,random,500,713,0.0,0.0059,S3,5,213,control
500,177,500,0.9991,0.00035,nsga2,500,551,0.8148,0.0845,S3,5,51,control
500,401,500,0.6155,0.14533,random,500,738,0.037,0.0057,S3,6,238,control
500,166,500,0.9974,0.00415,nsga2,500,584,0.7778,0.088,S3,6,84,control
500,389,500,0.6326,0.18005,random,500,740,0.037,0.0061,S3,7,240,control
500,153,500,0.878,0.08869,nsga2,500,549,0.037,0.0831,S3,7,49,control
500,393,500,0.4445,0.27762,random,500,730,0.0,0.0057,S3,8,230,control
500,154,500,0.8611,0.05127,nsga2,500,558,0.1852,0.0775,S3,8,58,control
