MAPE,agree_10pct,agree_25pct,kendall,measured_spread,median_AE_ms,median_repeat_iqr_ms,n,pairs_10pct,pairs_25pct,spearman,subset,workload
8.5,0.867,0.833,0.615,1.95,1.78,0.14,12,45,24,0.716,all,control
27.8,0.548,0.75,0.092,1.49,16.98,2.71,10,31,12,0.129,all,sensing
26.9,0.708,1.0,0.319,1.44,9.32,2.74,9,24,9,0.475,rho<=0.75,sensing
16.1,0.667,0.636,0.333,0.4,7.38,0.4,12,51,33,0.252,all,telemetry
10.3,0.75,1.0,0.238,0.4,1.3,0.24,7,12,1,0.143,rho<=0.75,telemetry
16.9,0.902,0.951,0.741,17.8,3.42,0.32,34,479,384,0.882,all,ALL
14.9,0.914,0.982,0.732,17.8,2.72,0.28,28,304,224,0.882,rho<=0.75,ALL
16.9,0.902,0.951,0.741,17.8,3.42,0.32,34,479,384,0.882,reproducible,ALL
