budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
3888,0,3888,1.0,0.0,exhaustive,3888,3888,1.0,0.0667,S2,,0,control
39,0,39,1.0,0.0,HCA-DSE,39,39,1.0,0.021,S2,,0,control
100,49,100,0.1974,0.30156,random,100,141,0.0,0.0014,S2,0,41,control
100,40,100,0.8116,0.09019,nsga2,100,134,0.0,0.0185,S2,0,34,control
100,50,100,0.7795,0.0961,random,100,160,0.08,0.0015,S2,1,60,control
100,34,100,0.798,0.0673,nsga2,100,130,0.04,0.0135,S2,1,30,control
100,53,100,0.8439,0.15664,random,100,156,0.08,0.0013,S2,2,56,control
100,36,100,0.7134,0.08676,nsga2,100,128,0.04,0.0154,S2,2,28,control
100,64,100,0.7488,0.18597,random,100,155,0.04,0.0012,S2,3,55,control
100,39,100,0.7684,0.10077,nsga2,100,126,0.0,0.014,S2,3,26,control
100,60,100,0.6327,0.12878,random,100,138,0.04,0.0012,S2,4,38,control
100,38,100,0.3539,0.22745,nsga2,100,129,0.0,0.0157,S2,4,29,control
100,55,100,0.6649,0.12443,random,100,145,0.04,0.0013,S2,5,45,control
100,38,100,0.7179,0.22698,nsga2,100,140,0.0,0.0177,S2,5,40,control
100,56,100,0.7648,0.08678,random,100,151,0.04,0.0013,S2,6,51,control
100,36,100,0.5378,0.19025,nsga2,100,131,0.0,0.0195,S2,6,31,control
100,55,100,0.7026,0.11795,random,100,147,0.04,0.0015,S2,7,47,control
100,41,100,0.7549,0.09502,nsga2,100,132,0.08,0.0153,S2,7,32,control
100,52,100,0.7058,0.14339,random,100,139,0.04,0.0015,S2,8,39,control
100,24,100,0.6086,0.16065,nsga2,100,123,0.04,0.0165,S2,8,23,control
100,59,100,0.5206,0.16842,random,100,145,0.04,0.0014,S2,9,45,control
100,55,100,0.772,0.23771,nsga2,100,128,0.04,0.0188,S2,9,28,control
100,56,100,0.6802,0.1487,random,100,160,0.0,0.0014,S2,10,60,control
100,31,100,0.7895,0.06281,nsga2,100,122,0.04,0.0163,S2,10,22,control
100,48,100,0.4984,0.17165,random,100,162,0.0,0.0016,S2,11,62,control
100,54,100,0.5891,0.1607,nsga2,100,123,0.0,0.0162,S2,11,23,control
100,58,100,0.722,0.13299,random,100,147,0.0,0.0014,S2,12,47,control
