L_analytical,design_idx,edge_cls,errors,key,kind,link_cls,mean,n,n_e,n_g,ok,p50,p95,p99,policy,rep_factor,repeat,wall,workload
0.026641632768361585,9,edge-high,0,telemetry|balanced|9|2,dominated,fast,0.02644547913600001,750,2,1,True,0.026014708,0.028713292,0.032579042,balanced,2,2,3.1,telemetry
0.047402006688963216,10,edge-low,0,telemetry|balanced|10|0,boundary,standard,0.04027711674800003,750,2,1,True,0.038333542,0.054615792,0.061889,balanced,1,0,3.2,telemetry
0.047402006688963216,10,edge-low,0,telemetry|balanced|10|1,boundary,standard,0.040252727103999957,750,2,1,True,0.038457583,0.054546251,0.060648666,balanced,1,1,3.2,telemetry
0.047402006688963216,10,edge-low,0,telemetry|balanced|10|2,boundary,standard,0.03931245348533331,750,2,1,True,0.037933541,0.050263459,0.056056875,balanced,1,2,3.2,telemetry
0.02841320082815735,11,edge-med,0,telemetry|balanced|11|0,boundary,fast,0.026898764722666668,750,2,1,True,0.02652925,0.029370833,0.030692084,balanced,2,0,3.1,telemetry
0.02841320082815735,11,edge-med,0,telemetry|balanced|11|1,boundary,fast,0.026672064397333325,750,2,1,True,0.026284917,0.029031375,0.031016792,balanced,2,1,3.1,telemetry
0.02841320082815735,11,edge-med,0,telemetry|balanced|11|2,boundary,fast,0.027082096616,750,2,1,True,0.026389125,0.030251583,0.038232875,balanced,2,2,3.1,telemetry
0.023891226718047526,12,edge-low,0,control|cloud-first|12|0,pareto,standard,0.026964044950666625,750,2,1,True,0.026786084,0.027985917,0.031149916,cloud-first,1,0,2.4,control
0.023891226718047526,12,edge-low,0,control|cloud-first|12|1,pareto,standard,0.02694128028133333,750,2,1,True,0.026798125,0.027826083,0.030005208,cloud-first,1,1,2.4,control
0.023891226718047526,12,edge-low,0,control|cloud-first|12|2,pareto,standard,0.02676999124666667,750,2,1,True,0.026698833,0.027519917,0.02808925,cloud-first,1,2,2.4,control
0.023726248531829926,13,edge-low,0,control|cloud-first|13|0,pareto,standard,0.02679627980933332,750,2,1,True,0.026729709,0.027629583,0.028583667,cloud-first,1,0,2.4,control
0.023726248531829926,13,edge-low,0,control|cloud-first|13|1,pareto,standard,0.026904061675999992,750,2,1,True,0.026775958,0.027932792,0.029287417,cloud-first,1,1,2.4,control
