budget,hv_ratio,igd_plus,method,n_eval,recall,runtime,scale,seed,workload
3888,1.0,0.0,exhaustive,3888,1.0,0.0594,S2,,telemetry
48,1.0,0.0,HCA-DSE,48,1.0,0.0436,S2,,telemetry
100,0.31,0.2331,random,100,0.0,0.0009,S2,0,telemetry
100,0.6229,0.19216,nsga2,120,0.0,0.0147,S2,0,telemetry
100,0.5955,0.16908,random,100,0.037,0.0008,S2,1,telemetry
100,0.6761,0.19881,nsga2,120,0.037,0.0158,S2,1,telemetry
100,0.6325,0.14221,random,100,0.0,0.0007,S2,2,telemetry
100,0.1023,0.34542,nsga2,120,0.0,0.0122,S2,2,telemetry
100,0.5823,0.13357,random,100,0.0,0.0008,S2,3,telemetry
100,0.1184,0.43015,nsga2,120,0.0,0.0138,S2,3,telemetry
100,0.0874,0.3978,random,100,0.037,0.0009,S2,4,telemetry
100,0.5359,0.22574,nsga2,120,0.037,0.0117,S2,4,telemetry
100,0.5064,0.21064,random,100,0.0,0.0008,S2,5,telemetry
100,0.7827,0.10405,nsga2,120,0.0,0.0123,S2,5,telemetry
100,0.6571,0.24599,random,100,0.037,0.0008,S2,6,telemetry
100,0.7683,0.15178,nsga2,120,0.0,0.0142,S2,6,telemetry
100,0.4776,0.19535,random,100,0.037,0.0008,S2,7,telemetry
100,0.7658,0.17891,nsga2,120,0.0,0.0157,S2,7,telemetry
100,0.5332,0.13524,random,100,0.037,0.0008,S2,8,telemetry
100,0.7508,0.08038,nsga2,120,0.0741,0.0122,S2,8,telemetry
100,0.3909,0.16915,random,100,0.1111,0.001,S2,9,telemetry
100,0.5752,0.13435,nsga2,120,0.0,0.0121,S2,9,telemetry
100,0.6057,0.17587,random,100,0.0,0.001,S2,10,telemetry
100,0.5344,0.25506,nsga2,120,0.0,0.0129,S2,10,telemetry
100,0.7068,0.15106,random,100,0.0,0.0009,S2,11,telemetry
100,0.7401,0.11383,nsga2,120,0.1481,0.0124,S2,11,telemetry
100,0.2426,0.41151,random,100,0.0,0.0008,S2,12,telemetry
100,0.3089,0.20461,nsga2,120,0.1111,0.0125,S2,12,telemetry
100,0.6123,0.21232,random,100,0.037,0.001,S2,13,telemetry
100,0.0945,0.35713,nsga2,120,0.037,0.0129,S2,13,telemetry
100,0.7494,0.19191,random,100,0.037,0.0008,S2,14,telemetry
100,0.3895,0.22375,nsga2,118,0.0,0.0145,S2,14,telemetry
100,0.5884,0.16003,random,100,0.037,0.0008,S2,15,telemetry
100,0.5631,0.15985,nsga2,120,0.037,0.0136,S2,15,telemetry
100,0.4012,0.25213,random,100,0.0,0.0008,S2,16,telemetry
