L_analytical,design_idx,edge_cls,errors,key,kind,link_cls,mean,n,n_e,n_g,ok,p50,p95,p99,policy,rep_factor,repeat,wall,workload
0.040133695652173916,10,edge-low,0,telemetry|10|1,boundary,standard,0.033134072236000026,750,2,2,True,0.032767792,0.035256583,0.038746666,balanced,1,1,4.6,telemetry
0.040133695652173916,10,edge-low,0,telemetry|10|2,boundary,standard,0.032180891462666644,750,2,2,True,0.032128,0.033146125,0.0343655,balanced,1,2,4.8,telemetry
0.0404875,11,edge-low,0,telemetry|11|0,boundary,standard,0.03335028578666668,750,2,2,True,0.033076209,0.034992625,0.036916083,balanced,1,0,4.6,telemetry
0.0404875,11,edge-low,0,telemetry|11|1,boundary,standard,0.03308776401866666,750,2,2,True,0.032874459,0.034539416,0.036631542,balanced,1,1,4.8,telemetry
0.0404875,11,edge-low,0,telemetry|11|2,boundary,standard,0.03305223629200001,750,2,2,True,0.032635583,0.036801417,0.045536667,balanced,1,2,4.8,telemetry
0.029741375985286388,12,edge-low,0,control|12|0,pareto,fast,0.02708904101600004,750,2,1,True,0.026954125,0.028018792,0.029309042,balanced,1,0,3.8,control
0.029741375985286388,12,edge-low,0,control|12|1,pareto,fast,0.02841044580133333,750,2,1,True,0.027136833,0.030804208,0.067114,balanced,1,1,3.8,control
0.029741375985286388,12,edge-low,0,control|12|2,pareto,fast,0.026555447281333334,750,2,1,True,0.026484542,0.028131667,0.032262,balanced,1,2,4.1,control
0.029591386892177586,13,edge-low,0,control|13|0,pareto,fast,0.02723315979199998,750,2,1,True,0.027022708,0.028454208,0.0310105,balanced,1,0,3.7,control
0.029591386892177586,13,edge-low,0,control|13|1,pareto,fast,0.02635926795733332,750,2,1,True,0.026544458,0.027601875,0.028776083,balanced,1,1,4.0,control
0.029591386892177586,13,edge-low,0,control|13|2,pareto,fast,0.027063279102666593,750,2,1,True,0.026929791,0.027966833,0.029384291,balanced,1,2,3.7,control
0.023651446692357095,14,edge-low,0,control|14|0,pareto,standard,0.028079664322666644,750,2,1,True,0.027982208,0.028707625,0.029657291,cloud-first,1,0,3.6,control
0.023651446692357095,14,edge-low,0,control|14|1,pareto,standard,0.028077402077333367,750,2,1,True,0.027966417,0.028762709,0.029924208,cloud-first,1,1,3.6,control
0.023651446692357095,14,edge-low,0,control|14|2,pareto,standard,0.035583842617333286,750,2,1,True,0.028108458,0.091547917,0.118671583,cloud-first,1,2,4.0,control
0.023501457599248297,15,edge-low,0,control|15|0,pareto,standard,0.02784433426666671,750,2,1,True,0.027738875,0.028455,0.029500959,cloud-first,1,0,3.8,control
0.023501457599248297,15,edge-low,0,control|15|1,pareto,standard,0.028351589789333304,750,2,1,True,0.02785375,0.031112458,0.035880709,cloud-first,1,1,4.1,control
0.023501457599248297,15,edge-low,0,control|15|2,pareto,standard,0.02778483678533334,750,2,1,True,0.02771475,0.028247416,0.029093708,cloud-first,1,2,3.7,control
0.022291446692357095,16,edge-low,0,control|16|0,pareto,fast,0.024609772282666677,750,2,1,True,0.024470625,0.025232167,0.027630375,cloud-first,1,0,3.8,control
0.022291446692357095,16,edge-low,0,control|16|1,pareto,fast,0.024733677894666673,750,2,1,True,0.024642167,0.025329458,0.026323667,cloud-first,1,1,3.5,control
0.022291446692357095,16,edge-low,0,control|16|2,pareto,fast,0.02472362850133328,750,2,1,True,0.024609125,0.025354958,0.026385875,cloud-first,1,2,3.8,control
0.022141457599248297,17,edge-low,0,control|17|0,pareto,fast,0.024611288834666647,750,2,1,True,0.024112,0.026797458,0.0342355,cloud-first,1,0,4.1,control
0.022141457599248297,17,edge-low,0,control|17|1,pareto,fast,0.024391185731999998,750,2,1,True,0.024276416,0.024893292,0.026314625,cloud-first,1,1,3.7,control
0.022141457599248297,17,edge-low,0,control|17|2,pareto,fast,0.024559435469333323,750,2,1,True,0.024445167,0.025204917,0.026404375,cloud-first,1,2,3.6,control
0.012769024024024026,18,edge-med,0,control|18|0,dominated,standard,0.012999344621333328,750,4,2,True,0.011994208,0.0175915,0.021653625,edge-first,2,0,4.3,control
0.012769024024024026,18,edge-med,0,control|18|1,dominated,standard,0.012888388219999993,750,4,2,True,0.011673125,0.01717225,0.036520625,edge-first,2,1,4.1,control
0.012769024024024026,18,edge-med,0,control|18|2,dominated,standard,0.012157978174666666,750,4,2,True,0.011691375,0.014368458,0.018092875,edge-first,2,2,4.1,control
0.023645280623061996,19,edge-high,0,control|19|0,dominated,fast,0.025061559787999992,750,2,2,True,0.025003208,0.025523667,0.026404583,balanced,1,0,3.8,control
0.023645280623061996,19,edge-high,0,control|19|1,dominated,fast,0.024971564448000014,750,2,2,True,0.0248705,0.025541833,0.027184583,balanced,1,1,3.9,control
0.023645280623061996,19,edge-high,0,control|19|2,dominated,fast,0.02540895229466666,750,2,2,True,0.025086875,0.026779625,0.030406334,balanced,1,2,4.1,control
0.022141457599248297,20,edge-med,0,control|20|0,dominated,fast,0.024560778553333367,750,4,1,True,0.024458,0.02509425,0.026120667,cloud-first,1,0,4.0,control
0.022141457599248297,20,edge-med,0,control|20|1,dominated,fast,0.025118369266666635,750,4,1,True,0.024464208,0.0272165,0.038321667,cloud-first,1,1,4.1,control
0.022141457599248297,20,edge-med,0,control|20|2,dominated,fast,0.024353831657333375,750,4,1,True,0.024290083,0.024728583,0.025435375,cloud-first,1,2,3.9,control
0.02804961662699762,21,edge-high,0,control|21|0,dominated,standard,0.02808375218133333,750,3,1,True,0.027929417,0.02891425,0.030452667,balanced,3,0,3.7,control
0.02804961662699762,21,edge-high,0,control|21|1,dominated,standard,0.028967249306666696,750,3,1,True,0.028138166,0.03275025,0.041445917,balanced,3,1,3.8,control
0.02804961662699762,21,edge-high,0,control|21|2,dominated,standard,0.02802206844400003,750,3,1,True,0.027889625,0.028885,0.029709833,balanced,3,2,4.0,control
0.016540135135135133,22,edge-med,0,control|22|0,boundary,standard,0.012361954826666683,750,3,2,True,0.011750542,0.015360375,0.020145125,edge-first,3,0,4.2,control
0.016540135135135133,22,edge-med,0,control|22|1,boundary,standard,0.012580812814666657,750,3,2,True,0.011867333,0.015561917,0.021878583,edge-first,3,1,4.0,control
0.016540135135135133,22,edge-med,0,control|22|2,boundary,standard,0.012861940614666643,750,3,2,True,0.011911875,0.01726675,0.024483625,edge-first,3,2,3.9,control
0.011388135135135136,23,edge-med,0,control|23|0,boundary,fast,0.009055666230666674,750,3,2,True,0.008150084,0.01483675,0.018865583,edge-first,3,0,4.2,control
0.011388135135135136,23,edge-med,0,control|23|1,boundary,fast,0.008352804437333328,750,3,2,True,0.007406875,0.010348833,0.0330145,edge-first,3,1,4.2,control
0.011388135135135136,23,edge-med,0,control|23|2,boundary,fast,0.040186719805333324,750,3,2,True,0.009210584,0.17760825,0.258657376,edge-first,3,2,5.2,control
0.08242786885245901,24,edge-low,0,sensing|24|0,pareto,fast,7.300942245851999,750,2,1,True,8.441915046,14.091129256,15.88613284,cloud-first,1,0,26.4,sensing
0.08242786885245901,24,edge-low,0,sensing|24|1,pareto,fast,0.3846992274106664,750,2,1,True,0.359626,0.804590209,1.047035542,cloud-first,1,1,17.1,sensing
