scale,workload,full_evaluator_calls,feasible_rows,table_seconds,total_seconds,solver_and_encoding_seconds,solver_checks,pareto,exact
S1,telemetry,1080,494,0.0059852920021512546,0.33786041699931957,0.3318751249971683,44,17,True
S1,control,1080,520,0.006884417001856491,0.43132716700347373,0.42444275000161724,48,18,True
S1,sensing,1080,228,0.006454124995798338,0.166146249997837,0.15969212500203867,31,11,True
S2,telemetry,3888,1743,0.022837707998405676,3.3194140830019023,3.2965763750034967,71,27,True
S2,control,3888,1753,0.022406584001146257,2.2314502500012168,2.2090436660000705,61,25,True
S2,sensing,3888,910,0.022634708002442494,0.951223583004321,0.9285888750018785,48,16,True
