L_analytical,design_idx,edge_cls,errors,key,kind,link_cls,mean,n,n_e,n_g,ok,p50,p95,p99,policy,rep_factor,repeat,wall,workload
0.02617348305084746,9,edge-high,0,telemetry|balanced|9|2,dominated,fast,0.025753336585333318,750,2,1,True,0.025463875,0.027392542,0.02828025,balanced,2,2,3.1,telemetry
0.03936767001114828,10,edge-low,0,telemetry|balanced|10|0,boundary,standard,0.032865218061333315,750,2,1,True,0.03219175,0.036082209,0.039716292,balanced,1,0,2.6,telemetry
0.03936767001114828,10,edge-low,0,telemetry|balanced|10|1,boundary,standard,0.03230346727466668,750,2,1,True,0.031895041,0.035434416,0.038678625,balanced,1,1,3.1,telemetry
0.03936767001114828,10,edge-low,0,telemetry|balanced|10|2,boundary,standard,0.032084833809333316,750,2,1,True,0.031746958,0.034054625,0.036563167,balanced,1,2,3.1,telemetry
0.027309267080745343,11,edge-med,0,telemetry|balanced|11|0,boundary,fast,0.026318814662666654,750,2,1,True,0.025953667,0.028729833,0.030765042,balanced,2,0,3.1,telemetry
0.027309267080745343,11,edge-med,0,telemetry|balanced|11|1,boundary,fast,0.02653530260666668,750,2,1,True,0.026122375,0.028874792,0.0313305,balanced,2,1,3.1,telemetry
0.027309267080745343,11,edge-med,0,telemetry|balanced|11|2,boundary,fast,0.02686269649066668,750,2,1,True,0.02608875,0.030195625,0.039942209,balanced,2,2,3.2,telemetry
0.029741375985286388,12,edge-low,0,control|balanced|12|0,pareto,fast,0.026841401345333343,750,2,1,True,0.026512958,0.028796167,0.030971875,balanced,1,0,1.9,control
0.029741375985286388,12,edge-low,0,control|balanced|12|1,pareto,fast,0.026753677290666696,750,2,1,True,0.026253875,0.028166541,0.031043667,balanced,1,1,2.5,control
0.029741375985286388,12,edge-low,0,control|balanced|12|2,pareto,fast,0.02652546080799999,750,2,1,True,0.026291417,0.028254167,0.029907583,balanced,1,2,2.4,control
0.029591386892177586,13,edge-low,0,control|balanced|13|0,pareto,fast,0.026625966509333323,750,2,1,True,0.026427625,0.027994666,0.029132458,balanced,1,0,1.9,control
0.029591386892177586,13,edge-low,0,control|balanced|13|1,pareto,fast,0.02642223419866665,750,2,1,True,0.026196708,0.027913833,0.030157917,balanced,1,1,2.4,control
0.029591386892177586,13,edge-low,0,control|balanced|13|2,pareto,fast,0.02639186200666667,750,2,1,True,0.026127625,0.028028417,0.030224834,balanced,1,2,2.4,control
0.023651446692357095,14,edge-low,0,control|cloud-first|14|0,pareto,standard,0.026958663216000014,750,2,1,True,0.026769416,0.028184875,0.030583917,cloud-first,1,0,1.9,control
0.023651446692357095,14,edge-low,0,control|cloud-first|14|1,pareto,standard,0.02677623860933335,750,2,1,True,0.026720792,0.02750775,0.028101583,cloud-first,1,1,2.4,control
0.023651446692357095,14,edge-low,0,control|cloud-first|14|2,pareto,standard,0.02679159412933336,750,2,1,True,0.026722667,0.027515834,0.028265875,cloud-first,1,2,1.9,control
0.023501457599248297,15,edge-low,0,control|cloud-first|15|0,pareto,standard,0.026616624757333337,750,2,1,True,0.026536542,0.027366833,0.028275916,cloud-first,1,0,2.4,control
0.023501457599248297,15,edge-low,0,control|cloud-first|15|1,pareto,standard,0.026661748078666656,750,2,1,True,0.026610916,0.027345833,0.027683042,cloud-first,1,1,2.4,control
0.023501457599248297,15,edge-low,0,control|cloud-first|15|2,pareto,standard,0.026561000342666678,750,2,1,True,0.026408583,0.027366583,0.030541333,cloud-first,1,2,2.4,control
