budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
250,194,250,0.1779,0.48009,random,250,373,0.0,0.0027,S3,15,123,sensing
250,71,250,0.5001,0.28822,nsga2,250,306,0.0,0.0368,S3,15,56,sensing
250,200,250,0.5415,0.35723,random,250,378,0.0,0.0027,S3,16,128,sensing
250,97,250,0.0899,0.27836,nsga2,250,296,0.1852,0.0338,S3,16,46,sensing
250,175,250,0.09,0.45775,random,250,365,0.0,0.0031,S3,17,115,sensing
250,82,250,0.8116,0.07125,nsga2,250,287,0.037,0.0351,S3,17,37,sensing
250,196,250,0.0304,0.44762,random,250,358,0.0,0.0026,S3,18,108,sensing
250,87,250,0.0626,0.34301,nsga2,250,282,0.037,0.0331,S3,18,32,sensing
250,194,250,0.3679,0.34257,random,250,365,0.0,0.0025,S3,19,115,sensing
250,98,250,0.0417,0.43802,nsga2,250,278,0.0,0.0292,S3,19,28,sensing
500,371,500,0.1593,0.35984,random,500,723,0.0,0.0058,S3,0,223,sensing
500,185,500,0.8141,0.03728,nsga2,500,575,0.4074,0.0769,S3,0,75,sensing
500,392,500,0.5678,0.21935,random,500,754,0.0,0.0053,S3,1,254,sensing
500,146,500,0.401,0.10011,nsga2,500,530,0.5926,0.097,S3,1,30,sensing
500,373,500,0.6691,0.14654,random,500,774,0.0,0.0064,S3,2,274,sensing
500,195,500,0.9023,0.01954,nsga2,500,565,0.3704,0.0769,S3,2,65,sensing
500,387,500,0.5741,0.22939,random,500,764,0.0,0.0059,S3,3,264,sensing
500,153,500,0.0973,0.26666,nsga2,500,533,0.4444,0.0861,S3,3,33,sensing
500,375,500,0.3609,0.26804,random,500,732,0.0,0.0064,S3,4,232,sensing
500,117,500,0.0989,0.26245,nsga2,500,533,0.5185,0.1025,S3,4,33,sensing
500,381,500,0.319,0.24842,random,500,713,0.0,0.006,S3,5,213,sensing
500,165,500,0.9864,0.00586,nsga2,500,571,0.7037,0.0919,S3,5,71,sensing
500,390,500,0.0928,0.49949,random,500,738,0.0,0.0061,S3,6,238,sensing
500,115,500,0.0152,0.81041,nsga2,500,574,0.0,0.0809,S3,6,74,sensing
500,367,500,0.8566,0.13078,random,500,740,0.0741,0.0055,S3,7,240,sensing
500,183,500,0.7721,0.21109,nsga2,500,561,0.0,0.0805,S3,7,61,sensing
500,391,500,0.5781,0.21641,random,500,730,0.037,0.0057,S3,8,230,sensing
500,130,500,0.8462,0.02207,nsga2,500,552,0.5556,0.0819,S3,8,52,sensing
500,397,500,0.5528,0.13371,random,500,735,0.037,0.0053,S3,9,235,sensing
500,166,500,0.7419,0.20889,nsga2,500,563,0.037,0.0763,S3,9,63,sensing
500,385,500,0.6088,0.2766,random,500,771,0.0,0.0055,S3,10,271,sensing
500,172,500,0.8467,0.03345,nsga2,500,568,0.2593,0.0796,S3,10,68,sensing
500,381,500,0.582,0.26012,random,500,747,0.0,0.0052,S3,11,247,sensing
500,191,500,0.0919,0.26621,nsga2,500,526,0.4815,0.0794,S3,11,26,sensing
500,393,500,0.5843,0.30995,random,500,753,0.0,0.0053,S3,12,253,sensing
500,198,500,0.9022,0.03045,nsga2,500,555,0.2963,0.1108,S3,12,55,sensing
500,390,500,0.7337,0.17769,random,500,754,0.0,0.0053,S3,13,254,sensing
500,140,500,0.856,0.19351,nsga2,500,581,0.037,0.0892,S3,13,81,sensing
500,385,500,0.2309,0.226,random,500,750,0.0,0.0056,S3,14,250,sensing
500,167,500,0.4141,0.11974,nsga2,500,526,0.3704,0.0815,S3,14,26,sensing
500,381,500,0.2289,0.23661,random,500,758,0.0,0.006,S3,15,258,sensing
500,120,500,0.7589,0.20562,nsga2,500,572,0.037,0.0877,S3,15,72,sensing
500,394,500,0.5595,0.31562,random,500,762,0.0,0.0057,S3,16,262,sensing
500,145,500,0.0992,0.26077,nsga2,500,548,0.6296,0.0933,S3,16,48,sensing
500,377,500,0.3311,0.32738,random,500,727,0.0,0.0062,S3,17,227,sensing
500,144,500,0.9964,0.0041,nsga2,500,582,0.7778,0.0929,S3,17,82,sensing
500,406,500,0.0984,0.36285,random,500,717,0.0,0.0053,S3,18,217,sensing
500,148,500,0.0836,0.28016,nsga2,500,532,0.2963,0.0752,S3,18,32,sensing
500,384,500,0.3691,0.31744,random,500,735,0.0,0.0053,S3,19,235,sensing
500,157,500,0.0698,0.3043,nsga2,500,528,0.2593,0.079,S3,19,28,sensing
1000,753,1000,0.3988,0.21396,random,1000,1436,0.037,0.0123,S3,0,436,sensing
1000,349,1000,0.9988,0.00126,nsga2,1000,1110,0.8889,0.1996,S3,0,110,sensing
1000,783,1000,0.6459,0.20098,random,1000,1471,0.037,0.0112,S3,1,471,sensing
1000,325,1000,0.9474,0.00983,nsga2,1000,1036,0.8148,0.2618,S3,1,36,sensing
1000,756,1000,0.6753,0.12903,random,1000,1534,0.0,0.012,S3,2,534,sensing
1000,369,1000,0.9988,0.00151,nsga2,1000,1108,0.8148,0.1999,S3,2,108,sensing
1000,758,1000,0.5796,0.19433,random,1000,1513,0.0,0.0114,S3,3,513,sensing
1000,264,1000,0.0992,0.26039,nsga2,1000,1034,0.7407,0.1998,S3,3,34,sensing
1000,741,1000,0.4854,0.13504,random,1000,1447,0.0,0.0118,S3,4,447,sensing
1000,205,1000,0.0992,0.26039,nsga2,1000,1033,0.7407,0.2487,S3,4,33,sensing
1000,772,1000,0.3212,0.2406,random,1000,1443,0.0,0.0119,S3,5,443,sensing
1000,324,1000,0.993,0.00189,nsga2,1000,1092,0.8889,0.2168,S3,5,92,sensing
1000,765,1000,0.3969,0.2193,random,1000,1521,0.0,0.0131,S3,6,521,sensing
1000,194,1000,0.0158,0.79598,nsga2,1000,1099,0.0,0.1955,S3,6,99,sensing
1000,749,1000,0.8576,0.12184,random,1000,1501,0.0741,0.0113,S3,7,501,sensing
1000,410,1000,0.9724,0.17534,nsga2,1000,1069,0.1852,0.2275,S3,7,69,sensing
1000,780,1000,0.7468,0.08851,random,1000,1454,0.0741,0.0118,S3,8,454,sensing
1000,305,1000,0.9929,0.00243,nsga2,1000,1066,0.8519,0.2131,S3,8,66,sensing
1000,786,1000,0.5675,0.13371,random,1000,1488,0.037,0.0112,S3,9,488,sensing
1000,287,1000,0.9589,0.17016,nsga2,1000,1119,0.2963,0.2072,S3,9,119,sensing
1000,751,1000,0.6409,0.19337,random,1000,1505,0.0,0.0116,S3,10,505,sensing
1000,326,1000,0.9988,0.00126,nsga2,1000,1105,0.8889,0.2076,S3,10,105,sensing
1000,763,1000,0.5892,0.16246,random,1000,1484,0.0,0.011,S3,11,484,sensing
1000,294,1000,0.0992,0.26039,nsga2,1000,1027,0.7407,0.2324,S3,11,27,sensing
1000,767,1000,0.6105,0.23428,random,1000,1500,0.0,0.0119,S3,12,500,sensing
1000,348,1000,0.993,0.00144,nsga2,1000,1085,0.9259,0.2183,S3,12,85,sensing
1000,783,1000,0.734,0.17697,random,1000,1516,0.0,0.0111,S3,13,516,sensing
1000,282,1000,0.9789,0.16781,nsga2,1000,1180,0.2222,0.2402,S3,13,180,sensing
1000,769,1000,0.3933,0.20469,random,1000,1498,0.0,0.0115,S3,14,498,sensing
1000,357,1000,0.9655,0.00627,nsga2,1000,1048,0.8148,0.1883,S3,14,48,sensing
1000,762,1000,0.8573,0.08347,random,1000,1469,0.037,0.0125,S3,15,469,sensing
1000,265,1000,0.98,0.16612,nsga2,1000,1213,0.2593,0.2432,S3,15,213,sensing
1000,790,1000,0.5734,0.17249,random,1000,1477,0.0,0.0115,S3,16,477,sensing
1000,232,1000,0.0992,0.26039,nsga2,1000,1049,0.7407,0.2305,S3,16,49,sensing
1000,745,1000,0.416,0.17244,random,1000,1468,0.037,0.0134,S3,17,468,sensing
1000,289,1000,0.9983,0.00059,nsga2,1000,1135,0.963,0.2216,S3,17,135,sensing
1000,774,1000,0.6608,0.13809,random,1000,1478,0.0,0.0121,S3,18,478,sensing
1000,269,1000,0.0992,0.26039,nsga2,1000,1032,0.7407,0.228,S3,18,32,sensing
1000,773,1000,0.7623,0.197,random,1000,1490,0.0,0.0113,S3,19,490,sensing
1000,291,1000,0.0975,0.26179,nsga2,1000,1028,0.4074,0.1999,S3,19,28,sensing
