scale,workload,method,raw,full_evaluator_calls,table_entries,solver_checks,pareto,build_s,total_s,verification_calls,exact
S1,telemetry,smt-factorised,1296,0,221,51,17,0.027,1.518,17,True
S1,control,smt-factorised,1296,0,225,52,18,0.024,1.684,18,True
S1,sensing,smt-factorised,1296,0,199,37,11,0.026,0.766,11,True
S2,telemetry,smt-factorised,5832,0,529,81,27,0.061,10.613,27,True
S2,control,smt-factorised,5832,0,537,83,25,0.062,12.447,25,True
S2,sensing,smt-factorised,5832,0,469,50,16,0.235,7.373,16,True
S3,telemetry,smt-factorised,51840,0,2384,87,31,0.309,80.961,31,True
S3,control,smt-factorised,51840,0,2406,85,27,0.265,94.321,27,True
S3,sensing,smt-factorised,51840,0,2188,85,27,0.36,71.363,27,True
