scale,workload,C_E,N_hca,N_exh,overhead_hca,overhead_exh,T_hca,T_exh,speedup
S2,telemetry,1e-06,46,3888,0.012988085029064678,0.026936515780107584,0.013034085029064677,0.030824515780107583,2.3649159654377017
S2,telemetry,1e-05,46,3888,0.012988085029064678,0.026936515780107584,0.013448085029064678,0.06581651578010758,4.894118057542142
S2,telemetry,5e-05,46,3888,0.012988085029064678,0.026936515780107584,0.015288085029064678,0.2213365157801076,14.477713550082795
S2,telemetry,0.0001,46,3888,0.012988085029064678,0.026936515780107584,0.017588085029064678,0.4157365157801076,23.63739515092714
S2,telemetry,0.0005,46,3888,0.012988085029064678,0.026936515780107584,0.03598808502906468,1.9709365157801075,54.766362649980984
S2,telemetry,0.001,46,3888,0.012988085029064678,0.026936515780107584,0.05898808502906468,3.9149365157801075,66.36825918066565
S2,telemetry,0.005,46,3888,0.012988085029064678,0.026936515780107584,0.2429880850290647,19.46693651578011,80.11477811124607
S2,telemetry,0.033290176025002435,46,3888,0.012988085029064678,0.026936515780107584,1.5443361821791768,129.45914090098958,83.82834151972844
S2,telemetry,0.1,46,3888,0.012988085029064678,0.026936515780107584,4.612988085029065,388.8269365157801,84.28960347365177
S2,telemetry,1.0,46,3888,0.012988085029064678,0.026936515780107584,46.012988085029065,3888.02693651578,84.4984665923229
S2,control,1e-06,39,3888,0.012304793992370833,0.026284903979103547,0.012343793992370834,0.030172903979103546,2.4443784461853557
S2,control,1e-05,39,3888,0.012304793992370833,0.026284903979103547,0.012694793992370832,0.06516490397910354,5.1331990119938595
S2,control,5e-05,39,3888,0.012304793992370833,0.026284903979103547,0.014254793992370833,0.22068490397910356,15.481451650386118
S2,control,0.0001,39,3888,0.012304793992370833,0.026284903979103547,0.016204793992370833,0.4150849039791036,25.614944822780483
S2,control,0.0005,39,3888,0.012304793992370833,0.026284903979103547,0.031804793992370836,1.9702849039791035,61.94930564403985
S2,control,0.001,39,3888,0.012304793992370833,0.026284903979103547,0.05130479399237083,3.9142849039791034,76.29472022753212
S2,control,0.005,39,3888,0.012304793992370833,0.026284903979103547,0.20730479399237084,19.466284903979105,93.90175947737849
S2,control,0.033290176025002435,39,3888,0.012304793992370833,0.026284903979103547,1.3106216589674657,129.45848928918858,98.77640004147237
S2,control,0.1,39,3888,0.012304793992370833,0.026284903979103547,3.912304793992371,388.8262849039791,99.38547873392947
S2,control,1.0,39,3888,0.012304793992370833,0.026284903979103547,39.01230479399237,3888.026284903979,99.66153769778577
S2,sensing,1e-06,26,3888,0.00962946200161241,0.011586300766794011,0.00965546200161241,0.01547430076679401,1.6026473683195983
S2,sensing,1e-05,26,3888,0.00962946200161241,0.011586300766794011,0.00988946200161241,0.050466300766794016,5.1030380377179085
S2,sensing,5e-05,26,3888,0.00962946200161241,0.011586300766794011,0.01092946200161241,0.20598630076679403,18.846883838967106
S2,sensing,0.0001,26,3888,0.00962946200161241,0.011586300766794011,0.01222946200161241,0.40038630076679405,32.739486063573736
S2,sensing,0.0005,26,3888,0.00962946200161241,0.011586300766794011,0.02262946200161241,1.955586300766794,86.41771070949248
S2,sensing,0.001,26,3888,0.00962946200161241,0.011586300766794011,0.03562946200161241,3.899586300766794,109.44836328402371
S2,sensing,0.005,26,3888,0.00962946200161241,0.011586300766794011,0.13962946200161241,19.451586300766795,139.30861024546647
S2,sensing,0.033290176025002435,26,3888,0.00962946200161241,0.011586300766794011,0.8751740386516758,129.44379068597627,147.90634201787105
S2,sensing,0.1,26,3888,0.00962946200161241,0.011586300766794011,2.6096294620016125,388.8115863007668,148.9911084934427
S2,sensing,1.0,26,3888,0.00962946200161241,0.011586300766794011,26.009629462001612,3888.011586300767,149.48354385366775
S3,telemetry,1e-06,52,34560,0.05298295801185304,0.13498271806747653,0.053034958011853046,0.16954271806747653,3.196810640060931
S3,telemetry,1e-05,52,34560,0.05298295801185304,0.13498271806747653,0.05350295801185304,0.48058271806747654,8.982357909276871
S3,telemetry,5e-05,52,34560,0.05298295801185304,0.13498271806747653,0.05558295801185304,1.8629827180674765,33.51715678158396
S3,telemetry,0.0001,52,34560,0.05298295801185304,0.13498271806747653,0.058182958011853046,3.5909827180674765,61.718806344220596
S3,telemetry,0.0005,52,34560,0.05298295801185304,0.13498271806747653,0.07898295801185304,17.414982718067478,220.4903837034566
S3,telemetry,0.001,52,34560,0.05298295801185304,0.13498271806747653,0.10498295801185305,34.69498271806748,330.4820456111578
S3,telemetry,0.005,52,34560,0.05298295801185304,0.13498271806747653,0.31298295801185305,172.9349827180675,552.5380161801596
S3,telemetry,0.033290176025002435,52,34560,0.05298295801185304,0.13498271806747653,1.7840721113119797,1150.6434661421517,644.9534516270118
S3,telemetry,0.1,52,34560,0.05298295801185304,0.13498271806747653,5.252982958011853,3456.1349827180675,657.9375966652943
S3,telemetry,1.0,52,34560,0.05298295801185304,0.13498271806747653,52.05298295801185,34560.13498271807,663.9414884368057
S3,control,1e-06,43,34560,0.052508210981613956,0.11168880061450182,0.05255121098161396,0.14624880061450182,2.782976793164096
S3,control,1e-05,43,34560,0.052508210981613956,0.11168880061450182,0.052938210981613956,0.45728880061450183,8.638161209741739
S3,control,5e-05,43,34560,0.052508210981613956,0.11168880061450182,0.054658210981613956,1.8396888006145018,33.65805004546051
S3,control,0.0001,43,34560,0.052508210981613956,0.11168880061450182,0.056808210981613955,3.5676888006145018,62.80234386837474
S3,control,0.0005,43,34560,0.052508210981613956,0.11168880061450182,0.07400821098161396,17.391688800614503,234.99674657633815
S3,control,0.001,43,34560,0.052508210981613956,0.11168880061450182,0.09550821098161397,34.671688800614504,363.0231206748188
S3,control,0.005,43,34560,0.052508210981613956,0.11168880061450182,0.2675082109816139,172.9116888006145,646.3789958675283
