scale,workload,full_evaluator_calls,feasible_rows,table_seconds,total_seconds,solver_and_encoding_seconds,solver_checks,pareto,exact
S1,telemetry,1080,494,0.006022333000146318,0.3408386250011972,0.3348162920010509,44,17,True
S1,control,1080,520,0.005625249999866355,0.3168308749955031,0.31120562499563675,48,18,True
S1,sensing,1080,228,0.0057962499995483086,0.1553131670007133,0.14951691700116498,31,11,True
S2,telemetry,3888,1743,0.021744083998783026,3.305049084003258,3.283305000004475,71,27,True
S2,control,3888,1753,0.02337745900149457,2.180086125001253,2.1567086659997585,61,25,True
S2,sensing,3888,910,0.02219537500059232,0.9367315410054289,0.9145361660048366,48,16,True
